# node id, temperature, exact temp.
      264,   2.595e-02,   2.595e-02
      265,   2.605e-02,   2.605e-02
      266,   2.615e-02,   2.615e-02
      267,   2.625e-02,   2.625e-02
      268,   2.634e-02,   2.634e-02
      269,   2.644e-02,   2.644e-02
      270,   2.654e-02,   2.654e-02
      271,   2.664e-02,   2.664e-02
      272,   2.673e-02,   2.673e-02
      273,   2.683e-02,   2.683e-02
      274,   2.693e-02,   2.693e-02
      275,   2.702e-02,   2.702e-02
      276,   2.712e-02,   2.712e-02
      277,   2.722e-02,   2.722e-02
      278,   2.732e-02,   2.732e-02
      279,   2.741e-02,   2.741e-02
      280,   2.751e-02,   2.751e-02
      281,   2.761e-02,   2.761e-02
      282,   2.771e-02,   2.771e-02
      283,   2.780e-02,   2.780e-02
      284,   2.790e-02,   2.790e-02
      285,   2.800e-02,   2.800e-02
      286,   2.809e-02,   2.809e-02
      287,   2.819e-02,   2.819e-02
      288,   2.829e-02,   2.829e-02
      289,   2.839e-02,   2.839e-02
      290,   2.848e-02,   2.848e-02
      291,   2.858e-02,   2.858e-02
      292,   2.868e-02,   2.868e-02
      293,   2.877e-02,   2.877e-02
      294,   2.887e-02,   2.887e-02
      295,   2.897e-02,   2.897e-02
      296,   2.906e-02,   2.906e-02
      297,   2.916e-02,   2.916e-02
      298,   2.926e-02,   2.926e-02
      299,   2.936e-02,   2.936e-02
      300,   2.945e-02,   2.945e-02
      301,   2.955e-02,   2.955e-02
      302,   2.965e-02,   2.965e-02
      303,   2.974e-02,   2.974e-02
      304,   2.984e-02,   2.984e-02
      305,   2.994e-02,   2.994e-02
      306,   3.003e-02,   3.003e-02
      307,   3.013e-02,   3.013e-02
      308,   3.023e-02,   3.023e-02
      309,   3.033e-02,   3.033e-02
      310,   3.042e-02,   3.042e-02
      311,   3.052e-02,   3.052e-02
      312,   3.062e-02,   3.062e-02
      313,   3.071e-02,   3.071e-02
      314,   3.081e-02,   3.081e-02
      315,   3.091e-02,   3.091e-02
      316,   3.100e-02,   3.100e-02
      317,   3.110e-02,   3.110e-02
      318,   3.120e-02,   3.120e-02
      319,   3.129e-02,   3.129e-02
      320,   3.139e-02,   3.139e-02
      321,   3.149e-02,   3.149e-02
      322,   3.158e-02,   3.158e-02
      323,   3.168e-02,   3.168e-02
      324,   3.178e-02,   3.178e-02
      325,   3.188e-02,   3.188e-02
      326,   3.197e-02,   3.197e-02
      327,   3.207e-02,   3.207e-02
      328,   3.217e-02,   3.217e-02
      329,   3.226e-02,   3.226e-02
      330,   3.236e-02,   3.236e-02
      331,   3.246e-02,   3.246e-02
      332,   3.255e-02,   3.255e-02
      333,   3.265e-02,   3.265e-02
      334,   3.275e-02,   3.275e-02
      335,   3.284e-02,   3.284e-02
      336,   3.294e-02,   3.294e-02
      337,   3.304e-02,   3.304e-02
      338,   3.313e-02,   3.313e-02
      339,   3.323e-02,   3.323e-02
      340,   3.333e-02,   3.333e-02
      341,   3.342e-02,   3.342e-02
      342,   3.352e-02,   3.352e-02
      343,   3.362e-02,   3.362e-02
      344,   3.371e-02,   3.371e-02
      345,   3.381e-02,   3.381e-02
      346,   3.390e-02,   3.390e-02
      347,   3.400e-02,   3.400e-02
      348,   3.410e-02,   3.410e-02
      349,   3.419e-02,   3.419e-02
      350,   3.429e-02,   3.429e-02
      351,   3.439e-02,   3.439e-02
      352,   3.448e-02,   3.448e-02
      353,   3.458e-02,   3.458e-02
      354,   3.468e-02,   3.468e-02
      355,   3.477e-02,   3.477e-02
      356,   3.487e-02,   3.487e-02
      357,   3.497e-02,   3.497e-02
      358,   3.506e-02,   3.506e-02
      359,   3.516e-02,   3.516e-02
      360,   3.526e-02,   3.526e-02
      361,   3.535e-02,   3.535e-02
      362,   3.545e-02,   3.545e-02
      363,   3.554e-02,   3.554e-02
      364,   3.564e-02,   3.564e-02
      365,   3.574e-02,   3.574e-02
